Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0048019	receptor antagonist activity	 	4.075E-8	3.778E-5	3.778E-5	2.799E-4	8	32	MTRNR2L12,MTRNR2L3,MTRNR2L10,MTRNR2L1,MTRNR2L8,MTRNR2L9,MTRNR2L4,DKK2
GO: Molecular Function	GO:0030547	signaling receptor inhibitor activity	 	6.916E-7	6.411E-4	3.206E-4	2.375E-3	8	45	MTRNR2L12,MTRNR2L3,MTRNR2L10,MTRNR2L1,MTRNR2L8,MTRNR2L9,MTRNR2L4,DKK2
GO: Molecular Function	GO:0009055	electron transfer activity	 	9.639E-5	8.936E-2	2.979E-2	2.207E-1	10	136	SRD5A1,NDUFA2,NDUFA4,NDUFB6,ADH5,COX5A,AKR1B1,SDHC,COX6A1,COX7C
GO: Biological Process	GO:1900118	negative regulation of execution phase of apoptosis	 	3.397E-8	1.787E-4	1.787E-4	1.634E-3	7	22	MTRNR2L12,MTRNR2L3,MTRNR2L10,MTRNR2L1,MTRNR2L8,MTRNR2L9,MTRNR2L4
GO: Biological Process	GO:1900117	regulation of execution phase of apoptosis	 	5.845E-7	3.075E-3	1.538E-3	1.406E-2	7	32	MTRNR2L12,MTRNR2L3,MTRNR2L10,MTRNR2L1,MTRNR2L8,MTRNR2L9,MTRNR2L4
GO: Biological Process	GO:0060548	negative regulation of cell death	 	3.649E-6	1.920E-2	6.399E-3	5.852E-2	44	1334	PDPK1,PSMC1,TSC1,BCL3,PTEN,ITGB3,PTGS2,MTRNR2L12,MTRNR2L3,MTRNR2L10,MTRNR2L1,FZD1,CITED2,MTRNR2L8,MTRNR2L9,JAK2,BMP5,ARL6IP1,AKR1B1,NOS3,TBX1,FOXC1,VDAC2,DNMT1,VHL,MPZ,ATF5,SLC25A5,MTRNR2L4,CHD8,RELA,MED1,PPIA,YWHAZ,EDNRA,CRYAB,PPP1R10,ARHGDIA,ORMDL3,MT3,EIF5A,MYOCD,ASAH2B,CHMP1A
GO: Biological Process	GO:0043066	negative regulation of apoptotic process	 	5.328E-6	2.803E-2	7.008E-3	6.409E-2	40	1178	PDPK1,BCL3,PTEN,ITGB3,PTGS2,MTRNR2L12,MTRNR2L3,MTRNR2L10,MTRNR2L1,CITED2,MTRNR2L8,MTRNR2L9,JAK2,BMP5,ARL6IP1,AKR1B1,NOS3,TBX1,FOXC1,VDAC2,DNMT1,VHL,MPZ,ATF5,SLC25A5,MTRNR2L4,CHD8,RELA,MED1,PPIA,YWHAZ,EDNRA,CRYAB,PPP1R10,ARHGDIA,ORMDL3,MT3,EIF5A,MYOCD,ASAH2B
GO: Biological Process	GO:0043069	negative regulation of programmed cell death	 	1.146E-5	6.028E-2	1.206E-2	1.103E-1	40	1217	PDPK1,BCL3,PTEN,ITGB3,PTGS2,MTRNR2L12,MTRNR2L3,MTRNR2L10,MTRNR2L1,CITED2,MTRNR2L8,MTRNR2L9,JAK2,BMP5,ARL6IP1,AKR1B1,NOS3,TBX1,FOXC1,VDAC2,DNMT1,VHL,MPZ,ATF5,SLC25A5,MTRNR2L4,CHD8,RELA,MED1,PPIA,YWHAZ,EDNRA,CRYAB,PPP1R10,ARHGDIA,ORMDL3,MT3,EIF5A,MYOCD,ASAH2B
GO: Biological Process	GO:0061428	negative regulation of transcription from RNA polymerase II promoter in response to hypoxia	 	3.914E-5	2.059E-1	3.411E-2	3.119E-1	3	5	CITED2,VHL,HIF1AN
GO: Biological Process	GO:0031327	negative regulation of cellular biosynthetic process	 	4.708E-5	2.477E-1	3.411E-2	3.119E-1	54	1959	ZNF384,NR2F6,HIVEP1,ESRRA,SRP9,TSC1,BCL3,EZH1,FZD1,CITED2,BPTF,BMP5,PIAS3,ZNF780A,BHLHE22,DHFR,PGP,SAP130,TBX1,FOXC1,DNMT1,CCDC85B,FOXP3,TBX15,FOXS1,VHL,ATF5,NELFB,ZNF322,CHD8,RELA,PATL1,DPF2,MED1,PAIP1,HIF1AN,YWHAZ,ZFP36,ZIC2,CRYAB,LEFTY2,TBX18,NCOR1,ORMDL3,MT3,IGF2,CTCF,OTUD6B,EIF4E,PRKACA,SMARCC2,TRPV4,MYOCD,SUMO2
